article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
845,"A: Every time someone doesn't laugh at my joke, it feels like they don't like me at all.",A: I try to be funny to make new friends... B: And how does that work out for you?,Automatic Thought
846,"A: I suppose I have always thought that if you're not first, you’re last.",A: I was always told winning is everything... B: Sounds like that created a lot of inner pressure to always be on top?,Intermediate Belief
847,"I must always be seen as agreeable; otherwise, people won't like me.","A: I hate conflicts, so I usually keep quiet about my opinions. B: Have you always been concerned what others think of you?",Intermediate Belief
848,Everyone always leaves me eventually; I must not be a good enough friend.,"A: I've lost another friend, we just drifted apart. B: That must make you feel like you can't maintain close relationships.",Intermediate Belief
849,B: I just get this bad feeling that something terrible is going to happen every time there's a silence in conversation.,"A: Did you enjoy your evening with the new colleagues? B: I did, but the socializing part is always so tough for me.",Automatic Thought
850,A: I seem to mess up every important work task.,"A: I'm really worried I won't meet the deadline. B: You haven't missed one before, right?",Intermediate Belief
851,I always mess things up when they matter the most.,A: I'm worried about taking on this project... B: Do you think you'll have trouble with it?,Automatic Thought
852,No one could ever truly love me; I'm just unlovable.,A: My last relationship ended badly... B: That sounds tough. Do you want to talk about it?,Core Belief
853,"A: I must always be in control, or else everything will collapse.","A: I just can't relax, even on weekends... B: It's hard to step away from your responsibilities, isn't it?",Core Belief
854,"A: If I'm not perfect, I'm a total failure.","A: I got a B on the exam, but I feel terrible... B: A B is still a good grade, don't be too hard on yourself.",Core Belief
855,"A: Sometimes, I feel like a total failure. I see others succeeding effortlessly and it gets to me.",A: These mistakes keep happening... B: Everyone makes mistakes you know. You'll get it right.,Intermediate Belief
856,A: It's a new challenge and I'm concerned I might mess up and let everyone down.,A: I've been offered a project lead role... B: That's great news! You're experienced and it’s a well-deserved opportunity.,Automatic Thought
857,"A: If I can't excel at this, I can't excel at anything.","A: I just got the internship results and I didn't get my top choice... B: But you got your second choice, which is great too!",Intermediate Belief
858,"A: Nobody cares about what I have to say, that’s why I prefer to keep quiet.",A: I don’t often speak up in meetings... B: Is it because you feel like your opinions aren’t valued?,Core Belief
859,"A: Every time I start a new project, I just know it's going to blow up in my face.",A: I'm really nervous about taking on this new responsibility... B: But you've handled similar situations well in the past.,Automatic Thought
860,A: Why even try? I'm just going to end up feeling stupid and rejected.,A: Let's practice for your interview; it could help. B: It's useless. Every interview I’ve been to has been a disaster.,Intermediate Belief
861,"A: Whenever I make a small mistake, I can't stop thinking that I'm completely incompetent.","A: I just got back my exam results, and I made a silly error on question 4... B: It happens to everyone, don't be too hard on yourself.",Automatic Thought
862,A: I feel like I'm always the outsider and that people just tolerate me.,A: I just never seem to fit in at social gatherings... B: Is it that people there make you feel unwelcome?,Core Belief
863,"A: I'm such a failure. Every time something goes wrong, it's always my fault.",A: I got the feedback from my boss and it wasn't great... B: Do you think it was fair or is it more about his current stress?,Automatic Thought
864,"A: Deep down, I believe I'm unlovable and that's why I'm always single.",A: Another relationship didn't work out... B: Is there a pattern you're noticing in these relationships?,Core Belief
865,A: Everyone always leaves me in the end.,A: I had another friend who stopped talking to me... B: That must be painful.,Intermediate Belief
866,A: I think I'm inherently unlovable.,A: I've had several relationships that didn't work out... B: Do you see a common theme in how they ended?,Core Belief
867,A: I can't believe I made that mistake. I'm such an idiot.,B: It's just a small error; you can correct it. A: But this always happens to me.,Automatic Thought
868,"A: Every time I'm in a group, I feel like they're judging me.","B: Do you think that might be assuming what others are thinking? A: Maybe, but I can't shake the feeling.",Automatic Thought
869,I always mess things up. That's just who I am and I can't seem to do anything right.,"A: I tried to fix it, but it just made things worse... B: It sounds like this one incident is really affecting how you see yourself.",Automatic Thought
